model,epoch,train_loss,train_hidden,train_observed,train_kl,train_arb,train_arb_calendar,train_arb_butterfly,val_loss,val_hidden,val_observed,val_kl,val_arb,val_arb_calendar,val_arb_butterfly
MLP-VAE,1,1.106001947796534,1.0050157433464413,1.0078611387146843,0.2001503078710465,0.0,0.0,0.0,1.0769380419342607,0.9789290304537173,0.9759275295116283,0.4162000015929893,0.0,0.0,0.0
MLP-VAE,2,1.052580289613633,0.9562418494905744,0.9490338868565029,1.4350479012443906,0.0,0.0,0.0,0.9074999557601081,0.8215272819554365,0.8189237766795688,4.080243626347294,0.0,0.0,0.0
MLP-VAE,3,0.6810424607897562,0.6028325729899936,0.6041736472220648,17.79251498267764,0.0,0.0,0.0,0.34027739818449376,0.28426950794679146,0.27290610991142417,28.71731002242477,0.0,0.0,0.0
MLP-VAE,4,0.335568419429991,0.28106225407312785,0.2720213500280229,27.304034096854075,0.0,0.0,0.0,0.20317862453284086,0.16703144714788154,0.1650454682332498,19.642637634277342,0.0,0.0,0.0
MLP-VAE,5,0.25573475805539936,0.21741897515834324,0.20561926885256693,17.753853473966085,0.0,0.0,0.0,0.1685275153981315,0.13664772113164267,0.1374059545773047,18.13918884418629,0.0,0.0,0.0
MLP-VAE,6,0.22702753553314814,0.19023074815197596,0.17953809135489993,18.84298967028421,0.0,0.0,0.0,0.16189753633958323,0.1314146602595294,0.13123419908461748,17.359457051312482,0.0,0.0,0.0
MLP-VAE,7,0.20761667698148698,0.17372580728833636,0.16786465734716446,17.104404055883013,0.0,0.0,0.0,0.15703263216548496,0.12735556877321666,0.12600321648297486,17.076736852857803,0.0,0.0,0.0
MLP-VAE,8,0.20216757139516256,0.16781103497459776,0.16381998166205392,17.97453342013889,0.0,0.0,0.0,0.15619035683296345,0.1268133282109543,0.1252255001001888,16.854466650221084,0.0,0.0,0.0
MLP-VAE,9,0.19893052336715517,0.16585635249576872,0.1604841540730189,17.02574932764447,0.0,0.0,0.0,0.15176394990196934,0.12177335211524257,0.12082141003123036,17.908459931832773,0.0,0.0,0.0
MLP-VAE,10,0.19007711051002382,0.1568924952121008,0.1525624945050194,17.928365592351035,0.0,0.0,0.0,0.15048938459820219,0.12117664024785713,0.11929943567072904,17.382801967196993,0.0,0.0,0.0
MLP-VAE,11,0.19106626907984417,0.1582935918418188,0.15098114335347737,17.674556435479058,0.0,0.0,0.0,0.14951893433376595,0.12005611669134211,0.11849153648923945,17.613664054870604,0.0,0.0,0.0
MLP-VAE,12,0.18754133222595093,0.15511815869618975,0.14742745563151344,17.680433073497955,0.0,0.0,0.0,0.14917139135025165,0.12066027731807144,0.11927721952950512,16.583386251661512,0.0,0.0,0.0
